GEOID5,Chg-Water,Chg-Wetlands,Chg-Dev-Trans,Chg-Dev-CommSvcs,Chg-Dev-IndMil,Chg-Dev-Recr,Chg-Dev-ResHi,Chg-Dev-ResLoMed,Chg-Dev-Other,Chg-SemiDev-UrbIntHi,Chg-SemiDev-UrbIntLoMed,Chg-SemiDev-Other,Chg-Mining,Chg-Crops,Chg-Pasture,Chg-Grazing1,Chg-Grazing2,Chg-LowUse,Chg-VeryLowUse,Chg-Unknown
04019,0.0,0.0,0.020000000000000018,0.10999999999999999,0.03,0.09999999999999999,0.31,0.73,-0.08000000000000002,-0.39,2.08,0.0,0.030000000000000027,-0.010000000000000009,0.0,0.0,-0.17999999999999994,-9.620000000000005,6.87,0.0
04017,0.009999999999999995,0.0,0.009999999999999981,0.010000000000000002,0.0,0.0,0.01,0.06000000000000001,-0.009999999999999995,0.0,0.37,0.0,0.0,-0.010000000000000009,0.010000000000000009,0.0,-0.02999999999999936,-0.4200000000000017,0.0,0.0
04012,0.0,0.0,0.01999999999999999,0.0,0.0,0.0,0.03,0.020000000000000004,0.0,0.01,0.22,0.0,0.0,-0.05999999999999994,0.07000000000000028,0.0,-0.30000000000000027,-10.819999999999993,10.8,0.0
04007,0.030000000000000027,0.0,0.01999999999999999,0.010000000000000002,0.0,0.019999999999999997,0.019999999999999997,0.04999999999999999,-0.009999999999999995,0.01,0.14999999999999997,0.0,-0.020000000000000018,0.01,-0.019999999999999997,0.0,0.0,-3.740000000000009,3.4700000000000006,0.0
04027,0.0,0.0,0.03,0.07,0.03,0.030000000000000002,0.23,0.11000000000000001,-0.030000000000000013,0.0,0.28,0.0,0.0,0.6200000000000001,-0.3700000000000001,-0.02,-0.16999999999999998,-27.16000000000001,26.34,0.0
04025,0.08,0.0,0.03,0.039999999999999994,0.01,0.030000000000000002,0.07,0.26999999999999996,-0.039999999999999994,0.01,1.38,0.0,-0.009999999999999995,-0.01,0.13,0.0,-0.040000000000000036,-5.760000000000005,3.84,0.0
04021,0.009999999999999995,0.0,0.040000000000000036,0.07999999999999999,0.019999999999999997,0.13,0.36000000000000004,0.46,-0.06,0.0,1.2,0.0,-0.010000000000000009,-0.3899999999999988,0.040000000000000036,0.0,-0.009999999999999981,-3.5,1.62,0.0
04011,0.0,0.0,0.02999999999999997,0.010000000000000002,0.030000000000000006,0.0,0.0,0.009999999999999995,0.020000000000000004,0.0,-0.020000000000000018,0.0,0.029999999999999916,0.03,0.0,-0.009999999999999998,0.0,-1.1700000000000017,1.0399999999999991,0.0
04023,0.0,0.0,0.020000000000000018,0.04000000000000001,0.010000000000000002,0.01999999999999999,0.03,0.44999999999999996,-0.11000000000000001,0.02,2.2399999999999998,0.0,0.0,0.009999999999999981,-0.029999999999999916,0.0,0.0,-7.1499999999999915,4.48,0.0
04005,0.0,0.0,0.01999999999999999,0.010000000000000002,0.01,0.01,0.019999999999999997,0.04,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,-2.280000000000001,2.17,0.0
04009,0.0,0.0,0.010000000000000009,0.009999999999999998,0.0,0.0,0.01,0.039999999999999994,-0.009999999999999995,0.01,0.10999999999999999,0.0,0.0,0.1499999999999999,-0.2,0.0,0.0,-1.9699999999999989,1.8299999999999996,0.0
04013,0.04999999999999999,0.0,0.16000000000000003,0.74,0.23000000000000004,0.56,2.66,1.6600000000000001,-0.26999999999999996,-0.7899999999999999,2.4000000000000004,-0.009999999999999998,-0.01,-2.4700000000000006,-0.22000000000000003,0.0,-0.40000000000000036,-10.530000000000001,6.240000000000001,0.0
