uniqid_co,GEOID10,NAMELSAD10,areakm2
860,29185,St. Clair County,1818.3
861,29229,Wright County,1769.3
862,29153,Ozark County,1956.0
863,29215,Texas County,3054.2
864,29149,Oregon County,2050.1
865,29207,Stoddard County,2147.2
866,29085,Hickory County,1066.3
867,29013,Bates County,2205.1
868,29133,Mississippi County,1110.5
869,29187,St. Francois County,1177.6
870,29179,Reynolds County,2109.3
871,29067,Douglas County,2109.8
872,29119,McDonald County,1397.8
873,29125,Maries County,1372.5
874,29039,Cedar County,1291.5
875,29155,Pemiscot County,1329.8
876,29055,Crawford County,1926.3
877,29109,Lawrence County,1588.6
878,29105,Laclede County,1989.1
879,29017,Bollinger County,1608.9
880,29011,Barton County,1545.5
881,29035,Carter County,1318.4
882,29225,Webster County,1537.8
883,29031,Cape Girardeau County,1518.6
884,29203,Shannon County,2600.4
885,29169,Pulaski County,1428.3
886,29069,Dunklin County,1417.2
887,29091,Howell County,2404.5
888,29009,Barry County,2048.6
889,29059,Dallas County,1406.0
890,29223,Wayne County,2004.8
891,29161,Phelps County,1746.5
892,29065,Dent County,1954.2
893,29186,Ste. Genevieve County,1312.5
894,29217,Vernon County,2167.4
895,29181,Ripley County,1635.9
896,29213,Taney County,1687.7
897,29145,Newton County,1622.9
898,29131,Miller County,1554.0
899,29123,Madison County,1288.8
900,29221,Washington County,1974.8
901,29023,Butler County,1810.4
902,29043,Christian County,1460.3
903,29167,Polk County,1663.8
904,29057,Dade County,1311.2
905,29201,Scott County,1103.0
906,29143,New Madrid County,1804.1
907,29157,Perry County,1254.0
908,29029,Camden County,1835.4
909,29077,Greene County,1755.7
910,29097,Jasper County,1660.9
911,29209,Stone County,1322.9
912,37113,Macon County,1346.0
913,37043,Clay County,571.4
914,37039,Cherokee County,1208.8
915,37173,Swain County,1400.2
916,37075,Graham County,781.3
917,40041,Delaware County,2052.1
918,40029,Coal County,1350.3
919,40091,McIntosh County,1844.8
920,40023,Choctaw County,2070.9
921,40079,Le Flore County,4166.2
922,40105,Nowata County,1504.2
923,40143,Tulsa County,1520.4
924,40005,Atoka County,2563.9
925,40001,Adair County,1494.6
926,40035,Craig County,1975.6
927,40127,Pushmataha County,3685.2
928,40097,Mayes County,1770.3
929,40101,Muskogee County,2175.0
930,40115,Ottawa County,1255.1
931,40121,Pittsburg County,3568.6
932,40147,Washington County,1098.9
933,40077,Latimer County,1888.4
934,40063,Hughes County,2110.5
935,40135,Sequoyah County,1849.7
936,40061,Haskell County,1619.5
937,40021,Cherokee County,2010.6
938,40145,Wagoner County,1529.8
939,40111,Okmulgee County,1819.0
940,40131,Rogers County,1842.8
941,40089,McCurtain County,4927.1
942,47051,Franklin County,1491.2
943,47021,Cheatham County,795.3
944,47007,Bledsoe County,1053.5
945,47155,Sevier County,1548.1
946,47045,Dyer County,1363.7
947,47061,Grundy County,935.3
948,47023,Chester County,740.6
949,47173,Union County,640.1
950,47067,Hancock County,578.8
951,47131,Obion County,1438.8
952,47139,Polk County,1145.6
953,47167,Tipton County,1225.9
954,47107,McMinn County,1119.4
955,47069,Hardeman County,1736.3
956,47081,Hickman County,1586.7
957,47111,Macon County,795.7
958,47105,Loudon County,640.7
959,47079,Henry County,1536.9
960,47071,Hardin County,1544.4
961,47055,Giles County,1582.9
962,47187,Williamson County,1512.0
963,47141,Putnam County,1042.6
964,47159,Smith County,842.7
965,47115,Marion County,1326.7
966,47099,Lawrence County,1600.6
967,47125,Montgomery County,1408.5
968,47149,Rutherford County,1616.3
969,47165,Sumner County,1406.9
970,47005,Benton County,1129.8
971,47129,Morgan County,1353.3
972,47185,White County,982.7
973,47121,Meigs County,561.4
974,47147,Robertson County,1234.0
975,47033,Crockett County,688.3
976,47013,Campbell County,1290.1
977,47039,Decatur County,893.2
978,47101,Lewis County,731.6
979,47177,Warren County,1124.1
980,47053,Gibson County,1563.5
981,47089,Jefferson County,814.0
982,47127,Moore County,337.8
983,47047,Fayette County,1829.2
984,47137,Pickett County,451.9
985,47063,Hamblen County,455.3
986,47093,Knox County,1362.0
987,47003,Bedford County,1229.7
988,47049,Fentress County,1292.2
989,47161,Stewart County,1276.9
990,47143,Rhea County,871.3
991,47001,Anderson County,893.0
992,47035,Cumberland County,1773.7
993,47025,Claiborne County,1143.7
994,47153,Sequatchie County,689.0
995,47043,Dickson County,1272.5
996,47175,Van Buren County,711.0
997,47015,Cannon County,688.1
998,47087,Jackson County,827.6
999,47009,Blount County,1467.5
1000,47183,Weakley County,1506.8
1001,47011,Bradley County,858.4
1002,47027,Clay County,671.7
1003,47145,Roane County,1023.0
1004,47041,DeKalb County,852.1
1005,47037,Davidson County,1362.2
1006,47017,Carroll County,1554.2
1007,47083,Houston County,536.1
1008,47135,Perry County,1095.2
1009,47169,Trousdale County,302.1
1010,47095,Lake County,502.2
1011,47031,Coffee County,1125.5
1012,47119,Maury County,1594.3
1013,47151,Scott County,1381.1
1014,47117,Marshall County,974.2
1015,47103,Lincoln County,1478.2
1016,47077,Henderson County,1362.0
1017,47133,Overton County,1126.2
1018,47075,Haywood County,1383.2
1019,47085,Humphreys County,1441.9
1020,47057,Grainger County,783.4
1021,47181,Wayne County,1905.3
1022,47097,Lauderdale County,1314.6
1023,47065,Hamilton County,1491.5
1024,47123,Monroe County,1690.2
1025,47189,Wilson County,1510.5
1026,47109,McNairy County,1459.8
1027,47157,Shelby County,2033.2
1028,47113,Madison County,1446.8
1029,48159,Franklin County,763.4
1030,48231,Hunt County,2284.4
1031,48343,Morris County,670.0
1032,48423,Smith County,2459.8
1033,48277,Lamar County,2416.7
1034,48037,Bowie County,2390.5
1035,48387,Red River County,2736.9
1036,48499,Wood County,1801.9
1037,48379,Rains County,670.4
1038,48063,Camp County,526.4
1039,48467,Van Zandt County,2226.4
1040,48315,Marion County,1088.6
1041,48401,Rusk County,2430.5
1042,48449,Titus County,1102.4
1043,48223,Hopkins County,2053.3
1044,48203,Harrison County,2371.8
1045,48183,Gregg County,714.2
1046,48213,Henderson County,2456.2
1047,48119,Delta County,719.8
1048,48365,Panola County,2127.2
1049,48147,Fannin County,2328.1
1050,48067,Cass County,2487.2
1051,48459,Upshur County,1534.8
1052,48397,Rockwall County,385.2
1053,13029,Bryan County,1155.2
1054,13001,Appling County,1326.8
1055,13023,Bleckley County,567.5
1056,13163,Jefferson County,1371.8
1057,13039,Camden County,1690.1
1058,13127,Glynn County,1124.4
1059,13073,Columbia County,796.7
1060,13107,Emanuel County,1787.6
1061,13301,Warren County,742.5
1062,13105,Elbert County,969.2
1063,13025,Brantley County,1158.3
1064,13051,Chatham County,1197.7
1065,13109,Evans County,484.0
1066,13155,Irwin County,939.6
1067,13033,Burke County,2162.6
1068,13179,Liberty County,1359.7
1069,13279,Toombs County,960.9
1070,13019,Berrien County,1185.9
1071,13075,Cook County,604.0
1072,13229,Pierce County,889.0
1073,13167,Johnson County,794.1
1074,13317,Wilkes County,1227.9
1075,13069,Coffee County,1560.9
1076,13125,Glascock County,374.1
1077,13245,Richmond County,851.0
1078,13005,Bacon County,740.3
1079,13003,Atkinson County,892.3
1080,13251,Screven County,1698.7
1081,13175,Laurens County,2119.8
1082,13043,Candler County,644.5
1083,13181,Lincoln County,666.4
1084,13305,Wayne County,1680.4
1085,13103,Effingham County,1250.8
1086,13271,Telfair County,1150.0
1087,13303,Washington County,1772.5
1088,13091,Dodge County,1303.1
1089,13265,Taliaferro County,505.9
1090,13031,Bulloch County,1783.5
1091,13165,Jenkins County,912.9
1092,13141,Hancock County,1239.8
1093,13319,Wilkinson County,1170.5
1094,13309,Wheeler County,777.7
1095,13191,McIntosh County,1164.9
1096,13161,Jeff Davis County,868.7
1097,13283,Treutlen County,524.3
1098,13189,McDuffie County,689.9
1099,13267,Tattnall County,1264.8
1100,13183,Long County,1045.9
1101,13147,Hart County,665.5
1102,13209,Montgomery County,633.8
1103,13017,Ben Hill County,657.6
1104,37069,Franklin County,1280.8
1105,37031,Carteret County,1321.3
1106,37057,Davidson County,1468.6
1107,37163,Sampson County,2451.7
1108,37101,Johnston County,2060.4
1109,37027,Caldwell County,1228.5
1110,37153,Richmond County,1243.0
1111,37123,Montgomery County,1299.6
1112,37179,Union County,1656.4
1113,37051,Cumberland County,1705.2
1114,37023,Burke County,1334.0
1115,37097,Iredell County,1546.0
1116,37063,Durham County,771.5
1117,37079,Greene County,690.0
1118,37143,Perquimans County,640.4
1119,37083,Halifax County,1893.8
1120,37037,Chatham County,1838.5
1121,37171,Surry County,1389.0
1122,37155,Robeson County,2463.0
1123,37121,Mitchell County,575.2
1124,37013,Beaufort County,2154.2
1125,37127,Nash County,1405.8
1126,37067,Forsyth County,1068.9
1127,37107,Lenoir County,1043.3
1128,37119,Mecklenburg County,1413.9
1129,37089,Henderson County,971.8
1130,37081,Guilford County,1703.3
1131,37061,Duplin County,2128.1
1132,37147,Pitt County,1695.6
1133,37191,Wayne County,1442.2
1134,37185,Warren County,1149.3
1135,37175,Transylvania County,985.5
1136,37181,Vance County,698.8
1137,37059,Davie County,691.8
1138,37195,Wilson County,968.0
1139,37001,Alamance County,1126.0
1140,37139,Pasquotank County,590.0
1141,37135,Orange County,1039.7
1142,37131,Northampton County,1426.1
1143,37167,Stanly County,1048.5
1144,37007,Anson County,1391.1
1145,37053,Currituck County,683.3
1146,37035,Catawba County,1070.7
1147,37189,Watauga County,811.8
1148,37161,Rutherford County,1465.5
1149,37019,Brunswick County,2231.9
1150,37125,Moore County,1828.2
1151,37047,Columbus County,2469.9
1152,37005,Alleghany County,612.7
1153,37041,Chowan County,447.7
1154,37065,Edgecombe County,1312.2
1155,37159,Rowan County,1356.4
1156,37025,Cabarrus County,944.0
1157,37145,Person County,1046.6
1158,37117,Martin County,1195.3
1159,37091,Hertford County,927.7
1160,37055,Dare County,1003.4
1161,37093,Hoke County,1016.0
1162,37015,Bertie County,1833.0
1163,37129,New Hanover County,520.2
1164,37177,Tyrrell County,1009.5
1165,37049,Craven County,1873.5
1166,37169,Stokes County,1180.1
1167,37095,Hyde County,1779.5
1168,37141,Pender County,2267.9
1169,37073,Gates County,894.3
1170,37187,Washington County,975.7
1171,37151,Randolph County,2044.4
1172,37011,Avery County,640.3
1173,37137,Pamlico County,884.1
1174,37009,Ashe County,1111.8
1175,37197,Yadkin County,874.1
1176,37105,Lee County,670.9
1177,37183,Wake County,2220.5
1178,37085,Harnett County,1557.4
1179,37029,Camden County,625.3
1180,37017,Bladen County,2297.7
1181,37021,Buncombe County,1709.8
1182,37165,Scotland County,829.6
1183,37045,Cleveland County,1212.8
1184,37103,Jones County,1225.3
1185,37109,Lincoln County,795.2
1186,37071,Gaston County,943.0
1187,37199,Yancey County,811.1
1188,37149,Polk County,617.8
1189,37133,Onslow County,1981.2
1190,37033,Caswell County,1109.2
1191,37003,Alexander County,682.9
1192,37157,Rockingham County,1483.3
1193,37193,Wilkes County,1960.4
1194,37077,Granville County,1389.5
1195,37111,McDowell County,1155.1
1196,45015,Berkeley County,3156.6
1197,45007,Anderson County,1961.8
1198,45021,Cherokee County,1028.7
1199,45079,Richland County,1998.7
1200,45035,Dorchester County,1491.3
1201,45067,Marion County,1279.8
1202,45075,Orangeburg County,2921.3
1203,45087,Union County,1336.5
1204,45055,Kershaw County,1917.6
1205,45089,Williamsburg County,2426.9
1206,45047,Greenwood County,1199.0
1207,45083,Spartanburg County,2121.8
1208,45027,Clarendon County,1801.8
1209,45013,Beaufort County,1503.9
1210,45061,Lee County,1065.1
1211,45049,Hampton County,1457.4
1212,45039,Fairfield County,1838.6
1213,45053,Jasper County,1713.3
1214,45011,Barnwell County,1443.3
1215,45063,Lexington County,1962.5
1216,45019,Charleston County,2448.1
1217,45069,Marlboro County,1256.9
1218,45065,McCormick County,1020.1
1219,45091,York County,1802.1
1220,45059,Laurens County,1874.7
1221,45029,Colleton County,2769.8
1222,45077,Pickens County,1326.2
1223,45009,Bamberg County,1024.5
1224,45005,Allendale County,1068.2
1225,45043,Georgetown County,2168.8
1226,45037,Edgefield County,1312.4
1227,45051,Horry County,2963.9
1228,45081,Saluda County,1196.1
1229,45033,Dillon County,1053.1
1230,45025,Chesterfield County,2086.9
1231,45017,Calhoun County,1016.5
1232,45001,Abbeville County,1323.5
1233,45071,Newberry County,1676.5
1234,45023,Chester County,1518.2
1235,45057,Lancaster County,1437.8
1236,45003,Aiken County,2798.7
1237,45041,Florence County,2081.6
1238,45031,Darlington County,1468.0
1239,45085,Sumter County,1766.6
1240,45045,Greenville County,2058.7
1241,47091,Johnson County,784.0
1242,47179,Washington County,854.2
1243,47171,Unicoi County,483.0
1244,47163,Sullivan County,1112.9
1245,47019,Carter County,900.4
1246,51027,Buchanan County,1305.0
1247,51595,Emporia city,18.0
1248,51161,Roanoke County,650.7
1249,51143,Pittsylvania County,2533.5
1250,51077,Grayson County,1155.0
1251,51071,Giles County,933.5
1252,51111,Lunenburg County,1119.9
1253,51141,Patrick County,1258.4
1254,51550,Chesapeake city,907.7
1255,51167,Russell County,1234.8
1256,51117,Mecklenburg County,1759.2
1257,51063,Floyd County,987.5
1258,51197,Wythe County,1203.4
1259,51750,Radford city,26.4
1260,51191,Washington County,1465.9
1261,51640,Galax city,21.4
1262,51775,Salem city,37.7
1263,51720,Norton city,19.5
1264,51037,Charlotte County,1236.8
1265,51035,Carroll County,1237.1
1266,51081,Greensville County,768.7
1267,51083,Halifax County,2148.7
1268,51155,Pulaski County,853.6
1269,51620,Franklin city,21.6
1270,51025,Brunswick County,1474.7
1271,51067,Franklin County,1842.9
1272,51051,Dickenson County,864.2
1273,51770,Roanoke city,111.1
1274,51690,Martinsville city,28.5
1275,51121,Montgomery County,1008.2
1276,51173,Smyth County,1171.4
1277,51515,Bedford city,17.9
1278,51185,Tazewell County,1346.7
1279,51520,Bristol city,34.1
1280,51590,Danville city,113.8
1281,51021,Bland County,929.1
1282,51089,Henry County,995.5
1283,54047,McDowell County,1385.4
1284,06103,Tehama County,7672.0
1285,06011,Colusa County,2995.0
1286,06051,Mono County,8111.5
1287,06061,Placer County,3891.3
1288,06005,Amador County,1569.4
1289,06009,Calaveras County,2685.6
1290,06093,Siskiyou County,16439.6
1291,06097,Sonoma County,4112.3
1292,06085,Santa Clara County,3362.6
1293,06113,Yolo County,2651.0
1294,06045,Mendocino County,9099.7
1295,06067,Sacramento County,2537.3
1296,06039,Madera County,5577.0
1297,06115,Yuba County,1667.5
1298,06063,Plumas County,6768.8
1299,06069,San Benito County,3601.3
1300,06089,Shasta County,9964.7
1301,06099,Stanislaus County,3922.8
1302,06043,Mariposa County,3788.7
1303,06003,Alpine County,1924.9
1304,06041,Marin County,1366.1
1305,06021,Glenn County,3436.9
1306,06035,Lassen County,12225.0
1307,06015,Del Norte County,2627.1
1308,06055,Napa County,2036.3
1309,06081,San Mateo County,1174.2
1310,06057,Nevada County,2522.1
1311,06077,San Joaquin County,3690.2
1312,06101,Sutter County,1576.0
1313,06105,Trinity County,8307.7
1314,06013,Contra Costa County,1914.4
1315,06109,Tuolumne County,5890.8
1316,06007,Butte County,4343.8
1317,06091,Sierra County,2492.0
1318,06033,Lake County,3443.2
1319,06049,Modoc County,10886.8
1320,06017,El Dorado County,4626.6
1321,06001,Alameda County,1929.0
1322,06075,San Francisco County,123.2
1323,06087,Santa Cruz County,1156.0
1324,06023,Humboldt County,9285.5
1325,06095,Solano County,2160.0
1326,06047,Merced County,5124.3
1327,08069,Larimer County,6821.9
1328,08043,Fremont County,3972.9
1329,08051,Gunnison County,8442.4
1330,08037,Eagle County,4381.7
1331,08117,Summit County,1603.9
1332,08097,Pitkin County,2520.6
1333,08017,Cheyenne County,4613.9
1334,08001,Adams County,3066.3
1335,08039,Elbert County,4794.1
1336,08125,Yuma County,6134.9
1337,08065,Lake County,994.3
1338,08029,Delta County,2974.9
1339,08045,Garfield County,7655.5
1340,08087,Morgan County,3350.8
1341,08073,Lincoln County,6698.9
1342,08059,Jefferson County,2004.7
1343,08103,Rio Blanco County,8347.0
1344,08115,Sedgwick County,1423.0
1345,08095,Phillips County,1782.0
1346,08077,Mesa County,8653.5
1347,08035,Douglas County,2183.0
1348,08063,Kit Carson County,5598.8
1349,08049,Grand County,4842.2
1350,08075,Logan County,4778.4
1351,08019,Clear Creek County,1026.8
1352,08081,Moffat County,12304.9
1353,08119,Teller County,1447.7
1354,08013,Boulder County,1917.6
1355,08015,Chaffee County,2628.7
1356,08057,Jackson County,4198.3
1357,08123,Weld County,10403.5
1358,08085,Montrose County,5808.2
1359,08014,Broomfield County,87.0
1360,08121,Washington County,6537.0
1361,08107,Routt County,6133.4
1362,08047,Gilpin County,389.2
1363,08031,Denver County,400.5
1364,08093,Park County,5725.7
1365,08041,El Paso County,5515.5
1366,08005,Arapahoe County,2086.1
1367,16061,Lewis County,1242.5
1368,16049,Idaho County,22023.4
1369,16025,Camas County,2794.5
1370,16077,Power County,3736.5
1371,16007,Bear Lake County,2718.0
1372,16057,Latah County,2789.2
1373,16087,Washington County,3816.3
1374,16027,Canyon County,1563.2
1375,16045,Gem County,1465.2
1376,16029,Caribou County,4658.2
1377,16033,Clark County,4571.7
1378,16059,Lemhi County,11833.0
1379,16043,Fremont County,4909.8
1380,16017,Bonner County,4971.5
1381,16083,Twin Falls County,4994.3
1382,16019,Bonneville County,4922.6
1383,16067,Minidoka County,1976.0
1384,16021,Boundary County,3309.7
1385,16015,Boise County,4938.3
1386,16037,Custer County,12787.6
1387,16073,Owyhee County,19934.3
1388,16081,Teton County,1166.9
1389,16075,Payette County,1062.6
1390,16013,Blaine County,6891.2
1391,16051,Jefferson County,2863.4
1392,16069,Nez Perce County,2217.8
1393,16047,Gooding County,1900.3
1394,16053,Jerome County,1559.6
1395,16003,Adams County,3547.7
1396,16035,Clearwater County,6444.0
1397,16039,Elmore County,8030.9
1398,16071,Oneida County,3112.1
1399,16085,Valley County,9668.4
1400,16055,Kootenai County,3407.5
1401,16001,Ada County,2746.6
1402,16009,Benewah County,2030.4
1403,16063,Lincoln County,3123.2
1404,16031,Cassia County,6682.9
1405,16041,Franklin County,1731.0
1406,16023,Butte County,5785.3
1407,16065,Madison County,1225.7
1408,16079,Shoshone County,6826.0
1409,16011,Bingham County,5491.2
1410,16005,Bannock County,2971.8
1411,20147,Phillips County,2316.9
1412,20027,Clay County,1698.0
1413,20157,Republic County,1866.0
1414,20105,Lincoln County,1866.0
1415,20179,Sheridan County,2321.2
1416,20051,Ellis County,2332.0
1417,20109,Logan County,2779.3
1418,20137,Norton County,2282.6
1419,20193,Thomas County,2783.7
1420,20141,Osborne County,2316.4
1421,20195,Trego County,2330.0
1422,20029,Cloud County,1859.6
1423,20041,Dickinson County,2206.5
1424,20023,Cheyenne County,2644.2
1425,20199,Wallace County,2366.5
1426,20201,Washington County,2327.6
1427,20163,Rooks County,2318.4
1428,20039,Decatur County,2315.8
1429,20181,Sherman County,2735.8
1430,20169,Saline County,1868.2
1431,20089,Jewell County,2368.2
1432,20065,Graham County,2327.8
1433,20063,Gove County,2775.8
1434,20183,Smith County,2323.1
1435,20167,Russell County,2329.5
1436,20153,Rawlins County,2770.2
1437,20143,Ottawa County,1868.3
1438,20123,Mitchell County,1862.6
1439,20053,Ellsworth County,1873.3
1440,30069,Petroleum County,4335.1
1441,30073,Pondera County,4247.2
1442,30039,Granite County,4488.7
1443,30067,Park County,7286.9
1444,30089,Sanders County,7225.9
1445,30041,Hill County,7552.5
1446,30035,Glacier County,7865.6
1447,30015,Chouteau County,10351.7
1448,30059,Meagher County,6202.5
1449,30055,McCone County,6948.1
1450,30111,Yellowstone County,6861.0
1451,30071,Phillips County,13498.9
1452,30011,Carter County,8672.0
1453,30077,Powell County,6041.7
1454,30093,Silver Bow County,1862.3
1455,30063,Missoula County,6781.4
1456,30079,Prairie County,4513.1
1457,30105,Valley County,13109.9
1458,30009,Carbon County,5341.1
1459,30013,Cascade County,7022.7
1460,30101,Toole County,5039.5
1461,30065,Musselshell County,4845.6
1462,30047,Lake County,4283.1
1463,30075,Powder River County,8541.5
1464,30033,Garfield County,12555.1
1465,30001,Beaverhead County,14431.1
1466,30031,Gallatin County,6817.0
1467,30007,Broadwater County,3208.4
1468,30085,Roosevelt County,6137.0
1469,30083,Richland County,5447.3
1470,30095,Stillwater County,4673.9
1471,30051,Liberty County,3748.2
1472,30099,Teton County,5937.7
1473,30049,Lewis and Clark County,9059.1
1474,30103,Treasure County,2548.6
1475,30025,Fallon County,4203.7
1476,30023,Deer Lodge County,1919.7
1477,30091,Sheridan County,4418.8
1478,30087,Rosebud County,13019.4
1479,30003,Big Horn County,12987.7
1480,30005,Blaine County,10978.4
1481,30053,Lincoln County,9518.0
1482,30029,Flathead County,13614.0
1483,30057,Madison County,9331.0
1484,30045,Judith Basin County,4844.9
1485,30107,Wheatland County,3699.1
1486,30081,Ravalli County,6216.5
1487,30037,Golden Valley County,3046.7
1488,30021,Dawson County,6172.3
1489,30019,Daniels County,3694.6
1490,30017,Custer County,9824.2
1491,30109,Wibaux County,2305.0
1492,30061,Mineral County,3168.4
1493,30043,Jefferson County,4296.5
1494,30027,Fergus County,11267.9
1495,30097,Sweet Grass County,4822.6
1496,31047,Dawson County,2640.3
1497,31171,Thomas County,1848.4
1498,31003,Antelope County,2223.7
1499,31071,Garfield County,1479.9
1500,31165,Sioux County,5354.4
1501,31049,Deuel County,1141.4
1502,31015,Boyd County,1410.3
1503,31169,Thayer County,1489.2
1504,31087,Hitchcock County,1860.9
1505,31007,Banner County,1933.1
1506,31065,Furnas County,1866.5
1507,31035,Clay County,1485.5
1508,31121,Merrick County,1280.7
1509,31017,Brown County,3173.2
1510,31037,Colfax County,1078.8
1511,31005,Arthur County,1860.4
1512,31161,Sheridan County,6396.8
1513,31159,Seward County,1491.5
1514,31179,Wayne County,1148.2
1515,31069,Garden County,4483.0
1516,31101,Keith County,2874.2
1517,31139,Pierce County,1488.2
1518,31151,Saline County,1492.6
1519,31163,Sherman County,1480.6
1520,31057,Dundy County,2385.0
1521,31167,Stanton County,1116.3
1522,31033,Cheyenne County,3098.7
1523,31013,Box Butte County,2791.6
1524,31183,Wheeler County,1490.8
1525,31095,Jefferson County,1491.0
1526,31111,Lincoln County,6669.5
1527,31091,Hooker County,1868.7
1528,31145,Red Willow County,1859.6
1529,31075,Grant County,2028.5
1530,31029,Chase County,2324.5
1531,31157,Scotts Bluff County,1930.5
1532,31077,Greeley County,1478.0
1533,31181,Webster County,1489.4
1534,31031,Cherry County,15564.4
1535,31011,Boone County,1779.9
1536,31045,Dawes County,3628.8
1537,31063,Frontier County,2538.4
1538,31129,Nuckolls County,1491.4
1539,31099,Kearney County,1337.3
1540,31051,Dixon County,1250.7
1541,31093,Howard County,1490.8
1542,31103,Keya Paha County,2004.4
1543,31113,Logan County,1479.2
1544,31027,Cedar County,1931.7
1545,31115,Loup County,1479.1
1546,31143,Polk County,1141.3
1547,31009,Blaine County,1850.2
1548,31105,Kimball County,2466.7
1549,31073,Gosper County,1198.5
1550,31083,Harlan County,1486.8
1551,31137,Phelps County,1399.7
1552,31081,Hamilton County,1416.8
1553,31023,Butler County,1530.2
1554,31107,Knox County,2951.9
1555,31123,Morrill County,3703.3
1556,31079,Hall County,1430.1
1557,31175,Valley County,1477.5
1558,31119,Madison County,1490.4
1559,31061,Franklin County,1491.8
1560,31125,Nance County,1160.9
1561,31085,Hayes County,1847.4
1562,31185,York County,1491.4
1563,31117,McPherson County,2227.4
1564,31135,Perkins County,2290.7
1565,31149,Rock County,2620.2
1566,31001,Adams County,1461.4
1567,31089,Holt County,6261.3
1568,31141,Platte County,1773.1
1569,31059,Fillmore County,1493.2
1570,31041,Custer County,6671.7
1571,31019,Buffalo County,2526.3
1572,32013,Humboldt County,25013.6
1573,32009,Esmeralda County,9295.6
1574,32019,Lyon County,5242.8
1575,32031,Washoe County,16944.2
1576,32021,Mineral County,9875.6
1577,32005,Douglas County,1910.5
1578,32011,Eureka County,10826.0
1579,32015,Lander County,14295.4
1580,32033,White Pine County,23042.4
1581,32001,Churchill County,13012.5
1582,32510,Carson City,407.3
1583,32029,Storey County,682.8
1584,32027,Pershing County,15714.6
1585,32007,Elko County,44555.4
1586,38029,Emmons County,4027.5
1587,38039,Griggs County,1855.6
1588,38097,Traill County,2233.9
1589,38025,Dunn County,5392.5
1590,38065,Oliver County,1893.8
1591,38087,Slope County,3157.6
1592,38035,Grand Forks County,3728.3
1593,38041,Hettinger County,2936.5
1594,38037,Grant County,4314.7
1595,38013,Burke County,2923.9
1596,38027,Eddy County,1668.3
1597,38073,Ransom County,2237.1
1598,38103,Wells County,3342.1
1599,38067,Pembina County,2904.4
1600,38007,Billings County,2987.5
1601,38019,Cavalier County,3910.8
1602,38079,Rolette County,2432.9
1603,38071,Ramsey County,3369.4
1604,38011,Bowman County,3022.7
1605,38003,Barnes County,3919.7
1606,38033,Golden Valley County,2596.2
1607,38091,Steele County,1853.0
1608,38099,Walsh County,3351.7
1609,38051,McIntosh County,2576.4
1610,38075,Renville County,2312.2
1611,38001,Adams County,2560.8
1612,38059,Morton County,5038.7
1613,38105,Williams County,5563.0
1614,38005,Benson County,3728.3
1615,38017,Cass County,4578.8
1616,38057,Mercer County,2881.3
1617,38021,Dickey County,2958.1
1618,38023,Divide County,3352.0
1619,38063,Nelson County,2612.8
1620,38069,Pierce County,2803.2
1621,38047,Logan County,2619.1
1622,38031,Foster County,1675.3
1623,38053,McKenzie County,7409.4
1624,38093,Stutsman County,5951.6
1625,38055,McLean County,6029.5
1626,38083,Sheridan County,2604.6
1627,38085,Sioux County,2922.1
1628,38089,Stark County,3471.1
1629,38015,Burleigh County,4320.9
1630,38009,Bottineau County,4396.1
1631,38095,Towner County,2697.4
1632,38081,Sargent County,2245.3
1633,38101,Ward County,5324.9
1634,38049,McHenry County,4950.9
1635,38043,Kidder County,3711.2
1636,38061,Mountrail County,5028.6
1637,38045,LaMoure County,2980.8
1638,41049,Morrow County,5305.7
1639,41007,Clatsop County,2151.9
1640,41003,Benton County,1757.6
1641,41027,Hood River County,1380.8
1642,41053,Polk County,1926.7
1643,41039,Lane County,11963.9
1644,41063,Wallowa County,8162.8
1645,41025,Harney County,26486.4
1646,41013,Crook County,7737.1
1647,41071,Yamhill County,1860.5
1648,41041,Lincoln County,2545.9
1649,41059,Umatilla County,8369.3
1650,41029,Jackson County,7256.2
1651,41015,Curry County,4230.2
1652,41057,Tillamook County,2859.4
1653,41009,Columbia County,1766.6
1654,41011,Coos County,4167.9
1655,41051,Multnomah County,1205.9
1656,41045,Malheur County,25717.7
1657,41019,Douglas County,13117.0
1658,41065,Wasco County,6204.0
1659,41043,Linn County,5980.2
1660,41055,Sherman County,2152.8
1661,41031,Jefferson County,4639.0
1662,41037,Lake County,21647.9
1663,41061,Union County,5279.8
1664,41021,Gilliam County,3167.1
1665,41005,Clackamas County,4876.0
1666,41067,Washington County,1881.4
1667,41023,Grant County,11730.7
1668,41047,Marion County,3088.6
1669,41035,Klamath County,15891.0
1670,41069,Wheeler County,4442.9
1671,41017,Deschutes County,7911.8
1672,41001,Baker County,7998.8
1673,41033,Josephine County,4252.4
1674,46049,Faulk County,2605.3
1675,46073,Jerauld County,1379.6
1676,46033,Custer County,4038.1
1677,46129,Walworth County,1928.6
1678,46017,Buffalo County,1263.2
1679,46115,Spink County,3910.2
1680,46025,Clark County,2505.8
1681,46085,Lyman County,4420.8
1682,46135,Yankton County,1378.4
1683,46035,Davison County,1131.6
1684,46071,Jackson County,4846.6
1685,46119,Sully County,2772.0
1686,46043,Douglas County,1123.2
1687,46007,Bennett County,3083.4
1688,46111,Sanborn County,1477.5
1689,46097,Miner County,1481.3
1690,46053,Gregory County,2728.6
1691,46047,Fall River County,4530.2
1692,46093,Meade County,9020.6
1693,46079,Lake County,1489.7
